0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,27,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
0,75,73,0,3,0,0,0,0,2,0,0,4,2,0,0,2,0,0,0,2
0,0,29,8,10,6,10,7,10,1,2,0,1,0,0,0,0,2,0,2,8
0,0,0,50,68,84,62,41,54,27,47,24,1,4,8,13,2,2,2,0,2
0,0,0,29,8,12,28,43,21,47,22,48,21,65,64,53,65,59,15,18,17
0,0,0,7,13,0,2,11,15,17,15,14,49,29,28,31,33,36,52,56,42
0,0,0,3,0,0,0,0,0,6,9,10,18,2,2,5,0,3,25,19,25
0,0,0,5,0,0,0,0,0,2,4,4,3,0,0,0,0,0,8,7,6
0,0,0,0,0,0,0,0,0,0,3,2,5,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
